"S.NO,SECTION,DV,M-II,PP,BEEE,FL,FIMS"
"151,DELTA,16,11,17,18,20,14"
"152,DELTA,16,11,19,8,20,16"
"153,DELTA,18,17,20,17,20,18"
"154,DELTA,16,18,19,16,19,17"
"155,DELTA,10,9,17,7,15,13"
"156,DELTA,11,5,9,10,10,9"
"157,DELTA,15,5,A,A,20,15"
"158,DELTA,18,15,20,10,19,16"
"159,DELTA,15,11,20,12,10,16"
"160,DELTA,15,15,18,15,19,14"
"161,DELTA,7,o,14,5,10,5"
"162,DELTA,19,18,18,19,20,18"
"163,DELTA,14,5,14,5,10,15"
"164,DELTA,12,3,9,2,15,15"
"165,DELTA,20,20,20,20,20,18"
"166,DELTA,16,14,18,18,15,19"
"167,DELTA,9,10,9,3,15,16"
"168,DELTA,19,18,20,16,19,19"
"169,DELTA,18,17,18,11,20,20"
"170,DELTA,16,20,15,16,10,18"
"171,DELTA,18,20,18,14,15,20"
"172,DELTA,9,8,1,1,15,16"
"173,DELTA,13,3,12,5,15,19"
"174,DELTA,MP,AB,16,10,20,19"
"175,DELTA,16,7,14,5,15,17"
"176,DELTA,9,6,15,12,15,15"
"177,DELTA,16,8,16,9,15,18"
"178,DELTA,13,11,7,6,13,18"
"179,DELTA,13,0,3,2,10,15"
"180,DELTA,14,13,5,12,13,20"
"181,,9,3,4,2,10,15"
"182,EPSILON,18,11,20,14,20,20"
"183,EPSILON,16,8,18,11,13,14"
"184,EPSILON,15,5,12,9,18,18"
"185,EPSILON,15,8,17,14,18,19"
"186,EPSILON,17,15,20,17,15,19"
"187,EPSILON,14,16,18,11,20,19"
"188,EPSILON,14,5,13,9,20,18"
"189,EPSILON,7,10,7,2,10,15"
"190,EPSILON,4,15,4,5,10,14"
"191,EPSILON,15,3,15,2,13,14"
"192,EPSILON,16,12,17,8,18,19"
"193,EPSILON,16,18,15,,18,18"
"194,EPSILON,17,15,18,17,20,19"
"195,EPSILON,18,11,19,10,20,20"
"196,EPSILON,20,12,18,17,20,20"
"197,EPSILON,15,3,11,6,10,19"
"198,EPSILON,11,1,1,2,10,9"
"199,EPSILON,14,6,12,5,10,17"
"200,EPSILON,12,3,10,10,10,18"
"201,EPSILON,10,5,13,5,10,18"
"202,EPSILON,18,17,15,18,19,19"
"203,EPSILON,16,11,16,14,13,19"
"204,EPSILON,18,20,15,19,15,14"
"205,EPSILON,18,20,18,14,20,19"
"206,EPSILON,18,9,8,11,18,18"
"207,EPSILON,6,6,2,3,10,11"
"208,EPSILON,15,1,18,18,20,19"
"209,EPSILON,18,6,12,8,15,16"
"210,EPSILON,10,0,11,7,15,15"
"211,EPSILON,A,AB,AB,A,A,AB"
"212,EPSILON,16,20,12,16,10,17"
"213,EPSILON,17,15,15,15,13,16"
"214,EPSILON,15,16,14,5,13,19"
"215,EPSILON,16,6,14,13,13,16"
"216,EPSILON,15,6,12,9,15,19"
"217,EPSILON,11,8,9,3,10,17"
"218,EPSILON,2o,20,20,19,20,20"
"219,EPSILON,13,13,14,13,15,19"
"220,EPSILON,18,15,19,13,19,20"
"221,EPSILON,12,11,5,1,10,16"
"222,EPSILON,15,13,9,6,15,AB"
"223,EPSILON,20,20,20,17,20,20"
"224,EPSILON,10,6,14,4,10,16"
"225,EPSILON,11,6,11,6,10,15"
"226,EPSILON,14,8,12,13,13,18"
"227,EPSILON,8,0,3,A,10,14"
"228,EPSILON,11,,10,12,10,16"
"229,EPSILON,11,15,9,7,10,15"
"230,EPSILON,13,2,5,9,10,10"
"231,EPSILON,17,15,12,16,15,18"
"232,EPSILON,11,5,9,10,15,14"
"233,EPSILON,18,10,17,9,15,17"
"234,EPSILON,18,10,17,6,20,17"
"235,EPSILON,17,17,16,14,19,18"
"236,EPSILON,9,5,5,1,10,11"
"237,EPSILON,15,4,10,12,11,13"
"238,EPSILON,18,9,11,20,17,15"
"239,EPSILON,13,3,14,7,20,9"
"240,EPSILON,17,17,14,20,18,17"
"241,GAMMA,19,19,11,18,20,19"
"242,GAMMA,16,13,11,18,17,13"
"243,GAMMA,11,0,5,7,17,14"
"244,GAMMA,18,20,13,20,20,18"
"245,GAMMA,17,8,11,15,15,12"
"246,GAMMA,15,4,14,20,19,16"
"247,GAMMA,15,3,10,11,13,11"
